store_code	id	availability	price	quantity	pickup_method	pickup_sla
1	6aa58ecaa69037c73ebed354	in_stock	5800.00 INR	10	buy	same_day
1	6aa58ce5a69037c73ebed099	in_stock	5200.00 INR	10	buy	same_day
1	6aa58b0fa69037c73ebecef5	in_stock	3800.00 INR	10	buy	same_day
1	6aa58606a69037c73ebecb33	in_stock	4900.00 INR	10	buy	same_day
1	6aa58550a69037c73ebecacf	in_stock	4200.00 INR	10	buy	same_day
1	6aa5839ba69037c73ebec9f3	in_stock	6500.00 INR	10	buy	same_day
1	6aa57ca2a69037c73ebec317	in_stock	4500.00 INR	10	buy	same_day
1	6aa2f217a69037c73ebe8dd2	in_stock	9500.00 INR	10	buy	same_day
1	6aa2f0cda69037c73ebe8da5	in_stock	16500.00 INR	10	buy	same_day
1	6aa2f02ea69037c73ebe8d79	in_stock	14000.00 INR	10	buy	same_day
1	6aa2ef74a69037c73ebe8d4e	in_stock	13500.00 INR	10	buy	same_day
1	6aa2ee69a69037c73ebe8d24	in_stock	1200.00 INR	10	buy	same_day
1	6aa2eddda69037c73ebe8cfb	in_stock	11000.00 INR	10	buy	same_day
1	6aa2ed41a69037c73ebe8cd3	in_stock	2200.00 INR	10	buy	same_day
1	6aa2ec48a69037c73ebe8c85	in_stock	12500.00 INR	10	buy	same_day
1	6aa2ebbda69037c73ebe8c5f	in_stock	14000.00 INR	10	buy	same_day
1	6aa2e8c5a69037c73ebe8c11	in_stock	16500.00 INR	10	buy	same_day
1	6a9bda4aa69037c73ebe572c	in_stock	21000.00 INR	10	buy	same_day
1	6a9bda27a69037c73ebe5709	in_stock	14500.00 INR	10	buy	same_day
1	6a9bda04a69037c73ebe56e7	in_stock	19500.00 INR	10	buy	same_day
1	6a9bd9dca69037c73ebe56c6	in_stock	9500.00 INR	10	buy	same_day
1	6a9bd9baa69037c73ebe56a6	in_stock	24000.00 INR	10	buy	same_day
1	6a9bd990a69037c73ebe5687	in_stock	16500.00 INR	10	buy	same_day
1	6a9bd955a69037c73ebe5669	in_stock	38000.00 INR	10	buy	same_day
1	6a9bd930a69037c73ebe564c	in_stock	2400.00 INR	10	buy	same_day
1	6a9bd90ca69037c73ebe5630	in_stock	28000.00 INR	10	buy	same_day
1	6a9bd8e6a69037c73ebe5615	in_stock	1400.00 INR	10	buy	same_day
1	6a9bd8b9a69037c73ebe55fb	in_stock	1800.00 INR	10	buy	same_day
1	6a9a8d12a69037c73ebe400b	in_stock	22000.00 INR	10	buy	same_day
1	6a9a8c5ea69037c73ebe3ff3	in_stock	18500.00 INR	10	buy	same_day
1	6a9a8898a69037c73ebe3ebb	in_stock	3500.00 INR	10	buy	same_day
1	6a94071c31429323dcbafd9f	in_stock	2500.00 INR	10	buy	same_day
1	6a94011831429323dcbafcce	in_stock	3800.00 INR	10	buy	same_day
1	6a93ffb431429323dcbafcb6	in_stock	4200.00 INR	10	buy	same_day
1	6a93fbac31429323dcbafbe8	in_stock	2000.00 INR	10	buy	same_day
1	6a93f8e131429323dcbafb11	in_stock	16800.00 INR	10	buy	same_day
1	6a93f72d31429323dcbafa84	in_stock	14700.00 INR	10	buy	same_day
1	6a93f43331429323dcbafa32	in_stock	5400.00 INR	10	buy	same_day
1	6a93f23c31429323dcbaf931	in_stock	3800.00 INR	10	buy	same_day
1	6a93efff31429323dcbaf8cc	in_stock	3800.00 INR	10	buy	same_day
1	6a93e63631429323dcbaf7b7	in_stock	8750.00 INR	10	buy	same_day
1	6a91697b31429323dcbaf2cd	in_stock	3000.00 INR	10	buy	same_day
1	6a55c1012dcf49aacd71efd9	in_stock	2500.00 INR	10	buy	same_day
1	6a55c07e2dcf49aacd71efc3	in_stock	37500.00 INR	10	buy	same_day
1	6a55bf8b2dcf49aacd71efae	in_stock	2000.00 INR	10	buy	same_day
1	6a55bf102dcf49aacd71efac	in_stock	0.00 INR	10	buy	same_day
1	6a55beb62dcf49aacd71ef9e	in_stock	250.00 INR	10	buy	same_day
1	6a55be4f2dcf49aacd71ef80	in_stock	4200.00 INR	10	buy	same_day
1	6a55bdcd2dcf49aacd71ef71	in_stock	350.00 INR	10	buy	same_day
